Age,Gender,Location,Language,Education Level,Likes and Reactions,Followed Accounts,Device Usage,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),Income Level,Top Interests,Segment,PCA1,PCA2
18-24,Female,Suburban,English,High School,3196,425,Tablet,1.6,4.3,0.17,0.095,73,0-20k,"['Eco-Friendly Living', 'DIY Crafts', 'Travel and Adventure', 'Software Engineering']",4,1.0095068683629604,-2.549139663449893
65+,Male,Suburban,English,Bachelor,6746,364,Desktop Only,0.6,4.3,0.14,0.049,74,20k-40k,"['Software Engineering', 'DIY Crafts']",3,-1.9333271713838516,-0.41187914441652795
55-64,Male,Suburban,Spanish,Bachelor,9882,264,Tablet,2.1,2.2,0.156,0.091,9,60k-80k,"['Software Engineering', 'Eco-Friendly Living', 'Gardening', 'Photography']",3,-1.3700253629150172,-0.5375378177203991
25-34,Female,Suburban,Mandarin,Technical,5982,152,Tablet,0.9,2.0,0.024,0.084,119,20k-40k,"['Gourmet Cooking', 'Travel and Adventure']",2,1.3816215182625233,-1.1669523963606372
25-34,Female,Suburban,Spanish,PhD,6082,249,Mobile Only,1.7,2.8,0.238,0.015,95,20k-40k,"['Software Engineering', 'Digital Marketing']",2,1.2353800432057582,-0.7237342514332822
25-34,Female,Rural,Mandarin,PhD,5898,237,Desktop Only,0.9,7.4,0.198,0.071,12,100k+,"['Fashion Modelling', 'Photography', 'Digital Marketing']",2,1.0555080371852181,-0.21864775542599155
25-34,Male,Rural,Hindi,Bachelor,9727,350,Mobile Only,1.0,1.8,0.093,0.044,13,40k-60k,"['Eco-Friendly Living', 'Software Engineering', 'Fitness and Wellness']",3,-1.4644585591521184,1.2969577604690885
35-44,Female,Suburban,Spanish,Master,8515,207,Mobile Only,1.4,6.3,0.141,0.025,19,20k-40k,"['Gourmet Cooking', 'Investing and Finance', 'Reading and Literature']",2,1.467673783117688,-0.96974313809348
35-44,Female,Urban,English,Master,8511,74,Tablet,5.0,6.3,0.012,0.069,109,100k+,"['Fitness and Wellness', 'Travel and Adventure', 'Gardening', 'Gaming']",4,1.5939703216836092,0.3717447943089106
25-34,Female,Rural,Hindi,High School,9946,397,Mobile + Desktop,0.5,6.7,0.01,0.074,11,60k-80k,"['Software Engineering', 'Gaming', 'Fitness and Wellness', 'Data Science']",2,0.948981947096163,0.6121624045728398
45-54,Female,Urban,English,High School,8556,20,Desktop Only,3.4,7.2,0.063,0.018,76,40k-60k,"['Fitness and Wellness', 'DIY Crafts']",4,0.9151821451835819,2.027960090305737
18-24,Female,Rural,Hindi,Technical,9245,117,Mobile + Desktop,1.1,2.8,0.172,0.091,119,80k-100k,"['Fitness and Wellness', 'Fashion Modelling', 'Gaming']",2,1.2682110366366621,0.3893545880440037
25-34,Female,Suburban,Spanish,Bachelor,4624,35,Tablet,4.6,2.6,0.213,0.075,19,100k+,['Digital Marketing'],0,1.4387312525216434,-0.6858367304467321
25-34,Male,Rural,Mandarin,High School,6659,454,Tablet,0.9,4.3,0.14,0.093,169,100k+,"['Fashion Modelling', 'Photography', 'Reading and Literature']",3,-1.7076454219940993,-1.5970046918892913
35-44,Female,Suburban,Hindi,High School,7720,430,Tablet,4.8,2.9,0.133,0.032,87,100k+,"['Reading and Literature', 'Gardening']",2,1.4738694518550115,-1.7735588663647261
45-54,Female,Rural,Mandarin,Bachelor,2874,160,Tablet,3.2,6.1,0.101,0.094,43,80k-100k,['Pet Care'],4,1.2686107914548308,-1.71601256865394
25-34,Female,Suburban,Hindi,Technical,5773,230,Tablet,0.5,5.5,0.04,0.037,138,20k-40k,"['Fashion Modelling', 'Reading and Literature']",2,1.4565209917718798,-1.206680111450861
35-44,Male,Suburban,English,High School,3224,350,Tablet,4.5,7.1,0.03,0.005,61,0-20k,"['Investing and Finance', 'DIY Crafts', 'Reading and Literature', 'Fashion Modelling']",3,-1.8098971076063637,-3.105919125739051
35-44,Male,Suburban,English,Technical,8771,246,Mobile + Desktop,2.8,1.6,0.19,0.076,96,60k-80k,"['Data Science', 'Reading and Literature', 'DIY Crafts', 'Pet Care']",1,-1.2871766153522999,-0.6923785302031227
18-24,Female,Suburban,Hindi,PhD,1453,246,Mobile Only,1.7,7.4,0.232,0.07,85,20k-40k,"['Digital Marketing', 'Software Engineering']",2,1.6022947312810945,-1.5009604228158988
45-54,Male,Urban,Mandarin,Technical,9181,228,Mobile + Desktop,4.0,3.1,0.115,0.06,151,0-20k,"['Travel and Adventure', 'Photography', 'Fitness and Wellness']",1,-1.2369190843896107,2.0915462070776494
25-34,Male,Suburban,Spanish,Master,3954,496,Desktop Only,4.7,4.4,0.165,0.049,131,20k-40k,"['Fitness and Wellness', 'Eco-Friendly Living', 'DIY Crafts']",3,-1.274336945516425,0.3065587896914031
18-24,Female,Urban,Spanish,Master,8234,433,Mobile + Desktop,2.7,4.1,0.229,0.003,163,100k+,"['Pet Care', 'DIY Crafts', 'Digital Marketing', 'Investing and Finance']",2,1.3476169241095668,2.0942087315971003
55-64,Male,Urban,English,Technical,1024,470,Tablet,1.9,6.3,0.023,0.062,79,40k-60k,['Gaming'],3,-1.1708083247957182,1.110974111085454
65+,Female,Suburban,Spanish,Master,2270,160,Mobile + Desktop,4.1,3.9,0.193,0.042,83,60k-80k,['Data Science'],0,1.0749515049941927,-0.419339992073062
55-64,Male,Urban,English,PhD,5606,132,Mobile Only,3.6,7.6,0.154,0.056,14,60k-80k,"['Music Production', 'DIY Crafts']",3,-1.189375430547755,0.8076836768772785
25-34,Female,Rural,Spanish,Bachelor,2495,153,Desktop Only,4.5,7.3,0.15,0.043,111,40k-60k,"['Investing and Finance', 'DIY Crafts']",0,0.8623299138582096,0.8041629023492572
18-24,Female,Suburban,Hindi,Master,8320,487,Mobile + Desktop,3.6,7.1,0.073,0.097,91,20k-40k,"['Pet Care', 'Reading and Literature', 'Music Production', 'Eco-Friendly Living']",2,2.0112577558189626,-0.6655606245731667
45-54,Female,Urban,English,Master,8326,198,Mobile Only,1.6,1.5,0.171,0.06,71,0-20k,"['Digital Marketing', 'Reading and Literature', 'Eco-Friendly Living', 'Data Science']",4,1.8453659396302458,0.5252942721079338
35-44,Female,Suburban,English,Technical,5615,264,Mobile + Desktop,4.7,7.0,0.199,0.075,66,80k-100k,"['Digital Marketing', 'Pet Care', 'Travel and Adventure']",0,1.6696253391031761,-1.457295431897355
18-24,Male,Suburban,Hindi,PhD,2770,77,Desktop Only,1.0,6.5,0.028,0.094,135,60k-80k,['Pet Care'],3,-0.7972991752555978,-0.7308432475808743
35-44,Female,Suburban,English,Bachelor,3465,113,Mobile + Desktop,1.7,1.7,0.133,0.059,150,0-20k,"['Music Production', 'Digital Marketing', 'Software Engineering']",2,1.1106714923519927,-1.4499227039347107
18-24,Female,Urban,Spanish,Technical,688,345,Tablet,2.8,1.8,0.025,0.001,157,0-20k,['Investing and Finance'],0,1.1424439514578952,0.7140189610915844
55-64,Female,Rural,Spanish,Technical,3238,168,Mobile + Desktop,3.0,1.7,0.218,0.003,111,80k-100k,"['Travel and Adventure', 'Music Production', 'Gourmet Cooking', 'Eco-Friendly Living']",0,0.8982715300254074,0.16519609389797088
25-34,Female,Rural,English,PhD,9195,318,Mobile Only,0.6,1.1,0.127,0.07,152,80k-100k,['Digital Marketing'],0,1.5004194887217142,-1.0706828818340641
45-54,Male,Urban,Spanish,Bachelor,6763,371,Mobile + Desktop,4.0,4.8,0.202,0.028,97,100k+,"['Travel and Adventure', 'Eco-Friendly Living']",1,-1.3253652323524558,2.5743103502038847
25-34,Male,Suburban,Mandarin,PhD,4186,418,Mobile Only,2.1,7.8,0.092,0.058,90,0-20k,"['Reading and Literature', 'Data Science']",3,-0.6639973164257693,-1.946742216154655
35-44,Male,Urban,English,Bachelor,8631,309,Desktop Only,2.3,4.1,0.031,0.02,125,0-20k,"['Digital Marketing', 'Eco-Friendly Living']",3,-1.358630404851454,1.0949130620372765
35-44,Male,Urban,Hindi,PhD,4370,405,Mobile + Desktop,4.1,4.8,0.01,0.027,83,100k+,"['Photography', 'DIY Crafts']",1,-1.4817771109407478,2.0892162319384067
25-34,Female,Urban,Mandarin,Technical,6119,99,Desktop Only,2.2,7.8,0.07,0.05,14,60k-80k,"['Digital Marketing', 'Fitness and Wellness', 'Pet Care', 'DIY Crafts']",2,1.3553231986118148,1.9012360123512606
65+,Male,Suburban,English,Technical,656,366,Desktop Only,0.7,2.8,0.061,0.098,153,100k+,"['Fitness and Wellness', 'Travel and Adventure']",3,-1.245235812729847,-0.13374452397696102
45-54,Male,Urban,Hindi,High School,8122,265,Mobile + Desktop,1.3,7.0,0.14,0.062,33,100k+,['Investing and Finance'],1,-1.3849014468042846,2.3730139908677117
55-64,Female,Suburban,Spanish,Master,5552,362,Mobile Only,4.8,4.8,0.005,0.094,100,80k-100k,['Photography'],0,2.220085486541064,-1.060785606978203
55-64,Female,Urban,Hindi,PhD,3667,229,Desktop Only,0.8,5.0,0.13,0.096,14,80k-100k,"['Pet Care', 'Fashion Modelling', 'Digital Marketing']",0,1.6145382069969043,1.0796137481737045
35-44,Male,Rural,Mandarin,High School,3999,18,Desktop Only,2.1,3.4,0.098,0.021,17,20k-40k,['Music Production'],3,-2.303845094173194,-1.0822245991091837
55-64,Male,Urban,Spanish,Master,6577,21,Mobile + Desktop,2.8,4.9,0.144,0.031,51,60k-80k,['Software Engineering'],1,-1.6714556734534387,1.6936767529255885
18-24,Female,Urban,English,PhD,7600,334,Mobile + Desktop,2.7,1.5,0.176,0.077,155,80k-100k,"['Music Production', 'Investing and Finance']",0,1.2795763365708805,0.7706667568531311
25-34,Male,Rural,Spanish,Bachelor,1116,447,Mobile + Desktop,0.5,6.4,0.159,0.087,54,40k-60k,"['Travel and Adventure', 'DIY Crafts']",1,-1.7407980543388937,0.9035743168879021
18-24,Male,Suburban,English,Master,6570,253,Mobile + Desktop,2.8,3.0,0.246,0.052,136,60k-80k,"['DIY Crafts', 'Gourmet Cooking']",1,-1.179873228704481,-0.6698244804169007
25-34,Female,Suburban,English,Technical,2162,191,Mobile + Desktop,2.2,7.2,0.035,0.099,120,60k-80k,['Gourmet Cooking'],2,1.7320363729392638,-0.38145199500139976
25-34,Male,Urban,Hindi,High School,9130,293,Tablet,4.9,3.6,0.107,0.001,117,100k+,['Reading and Literature'],3,-1.3551033235945875,0.8376572457484076
25-34,Male,Rural,Hindi,Master,9929,321,Mobile + Desktop,1.2,2.0,0.106,0.03,89,0-20k,"['Music Production', 'Investing and Finance', 'Data Science', 'Digital Marketing']",1,-1.3949121246166543,0.479656508536898
55-64,Male,Suburban,Hindi,Master,4421,108,Mobile Only,2.1,5.9,0.104,0.062,57,80k-100k,"['Travel and Adventure', 'Data Science', 'Pet Care']",3,-0.28107070312360316,-1.2989445138684783
25-34,Male,Urban,Mandarin,Technical,3596,206,Desktop Only,2.4,2.2,0.166,0.047,134,40k-60k,"['Gaming', 'Travel and Adventure', 'Music Production', 'Investing and Finance']",3,-1.3575366629079315,2.1823290620413904
25-34,Female,Rural,Mandarin,PhD,1913,491,Mobile Only,2.3,6.3,0.122,0.012,72,40k-60k,"['Gaming', 'Gardening']",4,1.5445366592675913,-0.5104132348417182
35-44,Male,Suburban,Hindi,Bachelor,6356,375,Mobile Only,3.5,7.8,0.129,0.037,83,0-20k,"['Investing and Finance', 'Music Production', 'Travel and Adventure', 'DIY Crafts']",3,-0.8977370551830686,-0.841884060405008
18-24,Female,Suburban,Mandarin,Technical,9743,235,Tablet,1.5,6.5,0.108,0.003,61,80k-100k,"['Gardening', 'Investing and Finance', 'Reading and Literature']",2,1.5363599381055395,-2.434933641961405
55-64,Male,Rural,Spanish,Bachelor,2413,342,Mobile + Desktop,1.5,1.2,0.248,0.064,101,40k-60k,['Music Production'],1,-1.7579966558233948,0.923893647127312
18-24,Male,Rural,Spanish,PhD,9806,112,Desktop Only,3.8,5.2,0.232,0.089,139,0-20k,"['Music Production', 'Fashion Modelling']",3,-1.7229190590835528,-0.2790508696428616
65+,Female,Rural,Mandarin,Master,1331,115,Mobile Only,2.8,5.9,0.077,0.088,151,60k-80k,['Investing and Finance'],4,1.1338709168854464,-1.3574798219884343
45-54,Female,Rural,Mandarin,Bachelor,9937,374,Mobile + Desktop,2.4,6.8,0.028,0.07,176,20k-40k,"['Fitness and Wellness', 'Pet Care']",2,1.2615922640970674,0.2873979734014462
25-34,Male,Urban,Spanish,High School,5931,377,Mobile + Desktop,1.3,1.4,0.21,0.047,67,20k-40k,"['Fitness and Wellness', 'Gardening', 'DIY Crafts', 'Music Production']",1,-1.8950250163294413,2.381523939406077
18-24,Male,Rural,English,High School,3099,67,Tablet,1.3,4.4,0.249,0.051,69,80k-100k,"['Eco-Friendly Living', 'Travel and Adventure', 'Software Engineering']",3,-2.1870964648082767,-2.6327190385249066
55-64,Female,Suburban,Spanish,Technical,3540,87,Tablet,0.5,4.7,0.073,0.014,43,40k-60k,"['Fitness and Wellness', 'Software Engineering', 'Gourmet Cooking']",0,0.9056165928882342,-0.0266442198203318
45-54,Female,Suburban,Spanish,PhD,4156,84,Tablet,0.9,2.2,0.089,0.034,113,80k-100k,['Gaming'],0,1.3095991821175588,-1.4261260445962276
45-54,Female,Urban,Mandarin,Technical,405,51,Desktop Only,3.0,3.3,0.235,0.019,30,60k-80k,['Travel and Adventure'],4,1.2010894523261073,1.3152109979004343
45-54,Male,Suburban,Spanish,Technical,1789,431,Mobile Only,4.5,4.1,0.178,0.082,176,100k+,"['Gardening', 'Software Engineering', 'Pet Care']",3,-0.6107374240746872,-0.20629508259832038
18-24,Male,Suburban,Mandarin,Technical,9809,333,Tablet,1.8,6.8,0.074,0.091,16,60k-80k,"['Gaming', 'Fitness and Wellness']",3,-1.0566747575102275,-1.0271976143995227
25-34,Female,Rural,Mandarin,High School,4017,190,Tablet,2.0,7.5,0.145,0.054,154,80k-100k,"['Investing and Finance', 'Photography', 'Reading and Literature', 'Digital Marketing']",0,0.8872805723778381,-2.6997264013966267
18-24,Female,Suburban,Hindi,High School,7180,42,Tablet,1.0,5.4,0.236,0.073,81,20k-40k,"['Investing and Finance', 'Gaming']",2,1.2489458632015322,-1.3772198285805175
55-64,Male,Urban,Spanish,Technical,8711,80,Mobile Only,2.2,3.8,0.203,0.012,146,40k-60k,"['Music Production', 'Digital Marketing', 'Reading and Literature', 'Fashion Modelling']",3,-1.2978459810458545,1.6804062607382682
45-54,Female,Rural,English,High School,3036,65,Mobile Only,0.7,2.8,0.185,0.061,90,40k-60k,"['Gourmet Cooking', 'Photography', 'Software Engineering', 'Digital Marketing']",4,0.8637596390641525,-0.5030400757049504
25-34,Female,Rural,Hindi,PhD,3962,114,Tablet,4.6,7.9,0.184,0.07,34,20k-40k,"['Fitness and Wellness', 'Eco-Friendly Living', 'Reading and Literature']",2,0.9630835128419036,-0.9677705530417557
18-24,Male,Urban,Mandarin,Technical,9742,209,Tablet,3.5,7.9,0.045,0.045,176,100k+,"['Eco-Friendly Living', 'Data Science', 'Music Production', 'DIY Crafts']",3,-1.453023166016975,0.8590019225128185
25-34,Female,Rural,Mandarin,High School,5749,110,Mobile + Desktop,5.0,7.5,0.206,0.024,170,40k-60k,"['DIY Crafts', 'Eco-Friendly Living', 'Reading and Literature']",4,0.6535490461249365,-0.6603376138321416
25-34,Male,Rural,English,Bachelor,3361,265,Tablet,4.5,6.5,0.069,0.088,174,60k-80k,"['Digital Marketing', 'Gourmet Cooking', 'Eco-Friendly Living', 'Music Production']",3,-1.452619149401421,-1.2574298007482791
45-54,Male,Urban,Mandarin,Technical,9456,316,Desktop Only,2.6,3.3,0.233,0.074,56,100k+,"['Pet Care', 'Digital Marketing']",3,-1.0516778406165188,2.2736438949937874
45-54,Female,Rural,Spanish,Technical,1919,83,Desktop Only,2.8,6.7,0.091,0.09,67,0-20k,"['Software Engineering', 'Digital Marketing', 'Travel and Adventure']",0,0.9545770429775948,-0.22963005028093675
55-64,Female,Urban,Hindi,PhD,1442,180,Tablet,1.4,3.9,0.214,0.082,124,80k-100k,"['Digital Marketing', 'Investing and Finance']",0,1.3325655826969112,0.08743772608651637
35-44,Male,Urban,Mandarin,Master,5660,386,Mobile Only,2.6,3.3,0.067,0.099,109,80k-100k,['Travel and Adventure'],3,-0.912677294040307,-0.11244482875674643
18-24,Male,Suburban,Mandarin,Master,2326,152,Mobile + Desktop,4.6,6.2,0.129,0.019,166,100k+,"['Eco-Friendly Living', 'DIY Crafts', 'Digital Marketing', 'Fitness and Wellness']",1,-1.195407131455929,-0.9593481741412524
45-54,Female,Suburban,English,PhD,1179,175,Mobile Only,0.7,1.6,0.027,0.009,43,40k-60k,['Gardening'],4,1.7439622740036638,-0.8093266085893409
45-54,Male,Rural,Spanish,PhD,4306,408,Tablet,4.4,1.3,0.165,0.034,45,0-20k,"['DIY Crafts', 'Pet Care', 'Reading and Literature', 'Digital Marketing']",3,-1.7792430230932088,-1.1833862163206499
35-44,Male,Rural,Mandarin,PhD,6380,270,Desktop Only,2.0,4.1,0.209,0.013,125,0-20k,['Fitness and Wellness'],3,-1.9074801205754068,-0.6468080184163281
45-54,Female,Urban,English,Master,7335,230,Mobile + Desktop,4.5,4.1,0.18,0.052,112,100k+,"['Photography', 'Pet Care']",4,1.737747709156085,1.9995440929735788
35-44,Male,Rural,Mandarin,PhD,913,92,Mobile Only,4.7,7.3,0.131,0.063,169,40k-60k,"['Pet Care', 'Gourmet Cooking', 'Software Engineering', 'Reading and Literature']",3,-1.6396608929291927,-1.6959243188411472
35-44,Male,Urban,English,High School,5189,191,Mobile Only,3.5,1.9,0.011,0.058,69,80k-100k,"['Digital Marketing', 'Software Engineering']",3,-1.5698060331502368,-0.473682995652413
35-44,Female,Urban,English,Technical,2131,316,Tablet,3.5,1.9,0.233,0.026,122,60k-80k,"['Photography', 'Fitness and Wellness', 'Eco-Friendly Living']",4,0.9650608129641127,0.8356129354452251
18-24,Female,Rural,Spanish,Technical,8614,19,Mobile + Desktop,2.5,2.0,0.176,0.091,83,40k-60k,"['Gourmet Cooking', 'Fitness and Wellness']",0,0.8645377463113076,1.5260229469126159
18-24,Male,Urban,Mandarin,Bachelor,9195,405,Desktop Only,4.3,1.2,0.186,0.002,164,40k-60k,['Photography'],3,-1.3314999961646068,2.0530927113147937
18-24,Male,Suburban,Spanish,Bachelor,9833,13,Tablet,4.8,1.5,0.199,0.035,12,40k-60k,"['DIY Crafts', 'Gardening', 'Fashion Modelling']",3,-1.6120738338410618,-0.49094575119221173
45-54,Female,Rural,English,Technical,6011,360,Mobile + Desktop,4.0,5.6,0.187,0.072,101,0-20k,['Gourmet Cooking'],4,1.2926278763614845,0.20536520257841184
25-34,Male,Suburban,Hindi,High School,2753,411,Mobile Only,3.3,4.0,0.11,0.077,22,60k-80k,"['Gardening', 'Investing and Finance', 'Fashion Modelling', 'Data Science']",3,-0.8000411013426669,-0.9549302259665118
35-44,Female,Rural,Mandarin,Master,3440,345,Tablet,3.2,6.3,0.183,0.042,177,60k-80k,['Travel and Adventure'],4,0.9442921516135676,-2.2126886643625503
55-64,Female,Urban,Hindi,Master,7976,497,Mobile Only,4.3,7.9,0.156,0.002,100,80k-100k,['Investing and Finance'],4,2.047064354955695,1.0413087794426463
25-34,Male,Rural,Mandarin,High School,1241,301,Mobile Only,2.9,5.6,0.214,0.062,37,100k+,['Music Production'],3,-1.401853664256936,-0.9222682187220643
35-44,Female,Suburban,Spanish,Master,9141,290,Tablet,4.1,1.4,0.201,0.006,9,0-20k,"['Music Production', 'Reading and Literature']",0,1.1821820851432008,-1.7019241138042005
45-54,Female,Urban,Spanish,PhD,8658,224,Tablet,2.8,1.7,0.01,0.011,131,80k-100k,"['Pet Care', 'DIY Crafts']",0,1.0659602922567841,0.9075780457443907
25-34,Male,Rural,Spanish,Technical,2997,469,Tablet,0.8,7.2,0.095,0.065,78,40k-60k,"['Investing and Finance', 'Fashion Modelling']",3,-1.8765564113431974,0.1299797124325701
18-24,Male,Rural,Spanish,Technical,9381,107,Tablet,2.2,4.7,0.009,0.031,130,80k-100k,"['Music Production', 'Reading and Literature', 'Photography']",0,-1.6679500596308876,-1.2288541375447164
25-34,Male,Rural,Spanish,High School,4141,429,Tablet,2.5,6.8,0.026,0.035,168,0-20k,"['Fashion Modelling', 'Pet Care', 'Software Engineering']",3,-1.9881495457457004,-1.4526942913450231
25-34,Female,Suburban,Hindi,Master,2138,110,Mobile Only,1.1,7.0,0.15,0.049,155,100k+,"['Pet Care', 'Gaming', 'Gardening']",2,2.6390055827603973,-0.4538885176626952
55-64,Female,Suburban,Spanish,Bachelor,4370,460,Desktop Only,1.0,7.5,0.218,0.098,172,80k-100k,['Gaming'],0,1.9258975039796262,-0.5076134207283735
55-64,Male,Rural,English,Bachelor,4783,18,Desktop Only,2.9,7.6,0.03,0.097,9,20k-40k,"['Pet Care', 'Reading and Literature', 'Photography']",3,-1.2516650694085496,-0.6289727375885474
45-54,Male,Urban,English,Master,594,70,Tablet,0.9,4.9,0.113,0.042,38,20k-40k,"['Software Engineering', 'Pet Care']",3,-1.6449678928281102,0.1602871932383236
55-64,Female,Urban,Hindi,Bachelor,7216,318,Mobile Only,1.9,3.4,0.228,0.027,28,40k-60k,"['Gaming', 'Data Science', 'Fitness and Wellness', 'Pet Care']",4,1.9848368779058032,2.814803256787818
55-64,Female,Suburban,Mandarin,High School,1884,155,Desktop Only,3.9,7.7,0.204,0.03,149,80k-100k,"['Data Science', 'Pet Care']",0,1.5944164543707022,-2.0211150288123987
25-34,Male,Urban,English,High School,3610,436,Desktop Only,4.8,4.8,0.13,0.027,99,60k-80k,"['Music Production', 'Gaming', 'Pet Care']",3,-1.1568875521767876,1.1846180313962371
55-64,Male,Suburban,Mandarin,Master,3886,428,Desktop Only,3.7,1.4,0.193,0.053,75,80k-100k,['Travel and Adventure'],3,-0.8813608870753773,-1.4874417236924031
35-44,Female,Rural,Hindi,Bachelor,5366,72,Mobile Only,5.0,5.5,0.131,0.061,96,100k+,['Data Science'],4,1.5291073182112869,-0.22270610945567457
55-64,Male,Suburban,Mandarin,High School,9290,130,Tablet,3.6,5.1,0.04,0.049,129,60k-80k,"['Reading and Literature', 'Digital Marketing', 'Travel and Adventure', 'Software Engineering']",3,-1.5754890038760925,-3.041155500420014
55-64,Male,Suburban,Mandarin,High School,5528,235,Tablet,1.8,7.3,0.031,0.041,26,100k+,['Eco-Friendly Living'],3,-1.3659563970720945,-1.7587144526771588
25-34,Female,Rural,Mandarin,PhD,6781,114,Tablet,3.5,5.6,0.047,0.021,19,100k+,"['Gaming', 'Fashion Modelling', 'Software Engineering', 'Music Production']",2,0.6321331716127639,-1.2706949342038878
18-24,Male,Urban,Mandarin,PhD,6993,471,Mobile + Desktop,3.7,3.4,0.088,0.048,105,80k-100k,"['DIY Crafts', 'Investing and Finance', 'Gaming', 'Photography']",1,-1.4067227161784805,1.018538371665291
25-34,Female,Suburban,Hindi,High School,9743,269,Mobile + Desktop,2.2,7.8,0.233,0.034,19,0-20k,"['Digital Marketing', 'Gardening']",2,1.6657696399003343,-0.40453331675019283
35-44,Female,Suburban,English,Master,4758,358,Mobile + Desktop,0.6,6.6,0.2,0.054,157,60k-80k,"['Gardening', 'Pet Care', 'Fitness and Wellness']",2,1.7373363498801253,-0.9395772555390371
55-64,Male,Rural,Spanish,Technical,7182,434,Mobile Only,3.7,5.4,0.108,0.068,57,0-20k,"['Gardening', 'Software Engineering', 'DIY Crafts', 'Travel and Adventure']",3,-1.3284507628089608,-0.18422094400867706
55-64,Female,Urban,Mandarin,Technical,6969,264,Desktop Only,0.6,3.1,0.123,0.063,153,40k-60k,"['Eco-Friendly Living', 'Data Science', 'Digital Marketing']",2,1.345275707149973,2.0400397898645806
18-24,Female,Suburban,English,High School,7707,438,Desktop Only,3.3,3.6,0.066,0.046,106,40k-60k,"['Gaming', 'Software Engineering', 'Data Science']",4,1.2912495924804042,-0.7535699849339071
35-44,Female,Rural,English,High School,7769,443,Mobile Only,1.2,5.7,0.176,0.056,117,80k-100k,"['Photography', 'Fashion Modelling', 'Travel and Adventure']",4,1.1157613649616014,-1.8185184689773999
35-44,Male,Suburban,Hindi,High School,6319,216,Mobile Only,3.0,1.5,0.201,0.028,36,60k-80k,['Investing and Finance'],3,-1.2629442943438953,-0.9113545803871554
25-34,Male,Rural,English,Master,4634,37,Tablet,2.8,2.8,0.06,0.002,25,20k-40k,"['DIY Crafts', 'Gourmet Cooking', 'Pet Care']",3,-1.799401588915522,-0.869461665839706
18-24,Female,Urban,Hindi,PhD,6079,179,Tablet,0.6,6.0,0.01,0.063,176,0-20k,"['Data Science', 'Fitness and Wellness']",2,1.4184339243580888,0.6648654171409533
25-34,Male,Urban,Mandarin,High School,8990,345,Mobile + Desktop,2.1,4.4,0.156,0.025,87,0-20k,"['Data Science', 'Gaming', 'Photography']",1,-1.3912005565118717,1.5011355822195098
55-64,Male,Urban,Mandarin,High School,1412,85,Mobile + Desktop,3.2,3.8,0.141,0.067,18,60k-80k,"['Fashion Modelling', 'Photography']",1,-1.7060181238375896,0.744191993103885
25-34,Male,Urban,Spanish,Bachelor,3062,125,Mobile Only,4.3,2.1,0.101,0.075,19,0-20k,"['Software Engineering', 'Gourmet Cooking', 'Investing and Finance', 'Reading and Literature']",3,-1.2568510683823004,1.1883966324999984
35-44,Male,Suburban,Spanish,Master,3038,78,Mobile + Desktop,4.5,4.1,0.161,0.092,152,40k-60k,"['Eco-Friendly Living', 'Music Production', 'DIY Crafts', 'Gaming']",1,-1.4820655969279903,0.04589304828467439
